time_s,heat_balance,moisture_balance,heat_quadrature_difference,moisture_quadrature_difference
7.400000000000000000e+01,5.186058663677082306e-12,9.795616346329147057e-13,5.419776856773609687e-18,4.523215844308889512e-19
7.500000000000000000e+01,5.247341413770804827e-12,9.816382292975094671e-13,5.475269287016942495e-18,4.772343181736625586e-19
7.600000000000000000e+01,5.287377373211817403e-12,9.830867703822827700e-13,5.515347153303794396e-18,4.855385627545870302e-19
7.700000000000000000e+01,5.308488348952359183e-12,9.836154350117619524e-13,5.606196739622305912e-18,5.062991742068983055e-19
7.800000000000000000e+01,5.347535136200702490e-12,9.852236328146379704e-13,5.695601210569897487e-18,5.062991742068983055e-19
7.900000000000000000e+01,5.438151159622210044e-12,9.894540071797312983e-13,5.849746850134710415e-18,5.062991742068983055e-19
8.000000000000000000e+01,5.576252943692937136e-12,9.963467366188822288e-13,5.954565885038783668e-18,5.062991742068983055e-19
8.100000000000000000e+01,5.719071744525295812e-12,1.004399356255110782e-12,5.998112028215842810e-18,5.068181894932060970e-19
8.200000000000000000e+01,5.807654862079407918e-12,1.010493802103747935e-12,6.045897176480934394e-18,5.068181894932060970e-19
8.300000000000000000e+01,5.863551334066854678e-12,1.015282446317571336e-12,6.061311740437416072e-18,5.151224340741305686e-19
8.400000000000000000e+01,5.909539205395745405e-12,1.019643929510775550e-12,6.163047862550193144e-18,5.151224340741305686e-19
8.500000000000000000e+01,5.963537016313373452e-12,1.024660956844533990e-12,6.169213688132785507e-18,5.338069843812106778e-19
8.600000000000000000e+01,6.072749476957073431e-12,1.034774311206472798e-12,6.206208641628340455e-18,5.338069843812106778e-19
8.700000000000000000e+01,6.190479416731225285e-12,1.046587851016816875e-12,6.274032723036858760e-18,5.338069843812106778e-19
8.800000000000000000e+01,6.291572422293426873e-12,1.057580903322209309e-12,6.351105542819264839e-18,5.338069843812106778e-19
8.900000000000000000e+01,6.392192430834927835e-12,1.070135630943083302e-12,6.351105542819264839e-18,5.338069843812106778e-19
9.000000000000000000e+01,6.462419338699353590e-12,1.080754388690804366e-12,6.438968557371207553e-18,5.441872901073664117e-19
9.100000000000000000e+01,6.510188112503697545e-12,1.088753084534826041e-12,6.537621766692689213e-18,5.524915346882908833e-19
9.200000000000000000e+01,6.557183604871708282e-12,1.096882889206958399e-12,6.586948371353428888e-18,5.691000238501399228e-19
9.300000000000000000e+01,6.612624743627609037e-12,1.106221221222080558e-12,6.641670073398938036e-18,5.691000238501399228e-19
9.400000000000000000e+01,6.670192602597750376e-12,1.116035351403734082e-12,6.684830852477084577e-18,5.691000238501399228e-19
9.500000000000000000e+01,6.754159583252737075e-12,1.130673017664756599e-12,6.832810666459305913e-18,5.857085130119889622e-19
9.600000000000000000e+01,6.845033105467257264e-12,1.147912771232076280e-12,6.879054358328749406e-18,5.857085130119889622e-19
9.700000000000000000e+01,6.917760420818709483e-12,1.162309366422056233e-12,6.907571301648239470e-18,6.054310938916846545e-19
9.800000000000000000e+01,7.009588572704885819e-12,1.182515985890013703e-12,7.006224510969721131e-18,6.220395830535336940e-19
9.900000000000000000e+01,7.063402287686656133e-12,1.195305440606376497e-12,7.132623935412866114e-18,6.220395830535336940e-19
1.000000000000000000e+02,7.121778363142791872e-12,1.210177833962888018e-12,7.181950540073606559e-18,6.386480722153827334e-19
1.010000000000000000e+02,7.165765123424765470e-12,1.221883526188818337e-12,7.271355011021198905e-18,6.386480722153827334e-19
1.020000000000000000e+02,7.202729938724727644e-12,1.231739949540830277e-12,7.296018313351568357e-18,6.552565613772318692e-19
1.030000000000000000e+02,7.254842434546564554e-12,1.245729472966111189e-12,7.370393584441590854e-18,6.718650505390809087e-19
1.040000000000000000e+02,7.294595380832452714e-12,1.256558639236364864e-12,7.524539224006403012e-18,6.801692951200053803e-19
1.050000000000000000e+02,7.364919243272905661e-12,1.276277829915942304e-12,7.573865828667144998e-18,6.801692951200053803e-19
1.060000000000000000e+02,7.417007794847222222e-12,1.291416670245711235e-12,7.703348165901587703e-18,6.926256619913921839e-19
1.070000000000000000e+02,7.493219587005949433e-12,1.314407237652506650e-12,7.765006421727512874e-18,6.926256619913921839e-19
1.080000000000000000e+02,7.544676167457170550e-12,1.330664732338253649e-12,7.838996328718622772e-18,7.009299065723166555e-19
1.090000000000000000e+02,7.607337085633616905e-12,1.351246703693141348e-12,7.888322933379361676e-18,7.009299065723166555e-19
1.100000000000000000e+02,7.649134321117688596e-12,1.365658101492746746e-12,7.937649538040102121e-18,7.009299065723166555e-19
1.110000000000000000e+02,7.695166155655142654e-12,1.381974806616995526e-12,7.962312840370473114e-18,7.009299065723166555e-19
1.120000000000000000e+02,7.730620128189395692e-12,1.394898542149246189e-12,8.005473619448621196e-18,7.092341511532411271e-19
