time_s,radius_cm,numerical,series,absolute_error
3.000000000000000000e+01,1.200000000000000178e+00,2.549999999999999822e+00,2.549999999999993605e+00,6.217248937900876626e-15
3.000000000000000000e+01,1.300000000000000044e+00,2.549999999999999822e+00,2.549999999999998046e+00,1.776356839400250465e-15
3.000000000000000000e+01,1.400000000000000133e+00,2.549999999999999822e+00,2.549999999999993605e+00,6.217248937900876626e-15
3.000000000000000000e+01,1.500000000000000000e+00,2.549999999999999822e+00,2.549999999999993161e+00,6.661338147750939243e-15
3.000000000000000000e+01,1.600000000000000089e+00,2.549999999999993161e+00,2.549999999999986500e+00,6.661338147750939243e-15
3.000000000000000000e+01,1.700000000000000178e+00,2.549999998546304436e+00,2.549999998546498059e+00,1.936228954946273006e-13
3.000000000000000000e+01,1.800000000000000044e+00,2.549986673258224368e+00,2.549986673563020556e+00,3.047961882884919760e-10
3.000000000000000000e+01,1.900000000000000133e+00,2.544205526525711303e+00,2.544205528642383474e+00,2.116672170870970149e-09
3.000000000000000000e+01,2.000000000000000000e+00,2.379977109787271949e+00,2.379977052542645577e+00,5.724462637246574559e-08
6.000000000000000000e+01,0.000000000000000000e+00,2.549999999999999822e+00,2.550000000000022915e+00,2.309263891220325604e-14
6.000000000000000000e+01,1.000000000000000056e-01,2.549999999999999822e+00,2.550000000000012701e+00,1.287858708565181587e-14
6.000000000000000000e+01,2.000000000000000111e-01,2.549999999999999822e+00,2.550000000000003819e+00,3.996802888650563546e-15
6.000000000000000000e+01,3.000000000000000444e-01,2.549999999999999822e+00,2.550000000000008704e+00,8.881784197001252323e-15
6.000000000000000000e+01,4.000000000000000222e-01,2.549999999999999822e+00,2.550000000000010036e+00,1.021405182655144017e-14
6.000000000000000000e+01,5.000000000000000000e-01,2.549999999999999822e+00,2.550000000000004707e+00,4.884981308350688778e-15
6.000000000000000000e+01,6.000000000000000888e-01,2.549999999999999822e+00,2.550000000000001155e+00,1.332267629550187849e-15
6.000000000000000000e+01,7.000000000000000666e-01,2.549999999999999822e+00,2.550000000000004263e+00,4.440892098500626162e-15
6.000000000000000000e+01,8.000000000000000444e-01,2.549999999999999822e+00,2.550000000000000266e+00,4.440892098500626162e-16
6.000000000000000000e+01,9.000000000000000222e-01,2.549999999999999822e+00,2.549999999999997158e+00,2.664535259100375697e-15
6.000000000000000000e+01,1.000000000000000000e+00,2.549999999999999822e+00,2.549999999999997158e+00,2.664535259100375697e-15
6.000000000000000000e+01,1.100000000000000089e+00,2.549999999999999822e+00,2.549999999999998490e+00,1.332267629550187849e-15
6.000000000000000000e+01,1.200000000000000178e+00,2.549999999999999822e+00,2.549999999999994937e+00,4.884981308350688778e-15
6.000000000000000000e+01,1.300000000000000044e+00,2.549999999999999822e+00,2.549999999999996714e+00,3.108624468950438313e-15
6.000000000000000000e+01,1.400000000000000133e+00,2.549999999999999378e+00,2.549999999999998490e+00,8.881784197001252323e-16
6.000000000000000000e+01,1.500000000000000000e+00,2.549999999995623323e+00,2.549999999995615330e+00,7.993605777301127091e-15
6.000000000000000000e+01,1.600000000000000089e+00,2.549999987314049754e+00,2.549999987314684802e+00,6.350475700855895411e-13
6.000000000000000000e+01,1.700000000000000178e+00,2.549992501643944642e+00,2.549992501753597374e+00,1.096527313393380609e-10
6.000000000000000000e+01,1.800000000000000044e+00,2.549049917288153555e+00,2.549049919562754507e+00,2.274600952034688817e-09
