time_s,radius_cm,numerical,series,absolute_error
5.000000000000000000e+00,1.800000000000000044e+00,2.804987591215129683e+01,2.804987591468100305e+01,2.529706222276217886e-09
5.000000000000000000e+00,1.900000000000000133e+00,2.822842216036497831e+01,2.822842218681450532e+01,2.644952701302827336e-08
5.000000000000000000e+00,2.000000000000000000e+00,2.869484969880502234e+01,2.869484973946748596e+01,4.066246361844605417e-08
1.000000000000000000e+01,0.000000000000000000e+00,2.800000000000000000e+01,2.800000000000006395e+01,6.394884621840901673e-14
1.000000000000000000e+01,1.000000000000000056e-01,2.800000000000000000e+01,2.800000000000006395e+01,6.394884621840901673e-14
1.000000000000000000e+01,2.000000000000000111e-01,2.800000000000000000e+01,2.800000000000004619e+01,4.618527782440651208e-14
1.000000000000000000e+01,3.000000000000000444e-01,2.800000000000000000e+01,2.800000000000003553e+01,3.552713678800500929e-14
1.000000000000000000e+01,4.000000000000000222e-01,2.800000000000000000e+01,2.800000000000002132e+01,2.131628207280300558e-14
1.000000000000000000e+01,5.000000000000000000e-01,2.800000000000000000e+01,2.800000000000000711e+01,7.105427357601001859e-15
1.000000000000000000e+01,6.000000000000000888e-01,2.800000000000000711e+01,2.800000000000000000e+01,7.105427357601001859e-15
1.000000000000000000e+01,7.000000000000000666e-01,2.800000000000044409e+01,2.800000000000041922e+01,2.486899575160350651e-14
1.000000000000000000e+01,8.000000000000000444e-01,2.800000000001930189e+01,2.800000000001926281e+01,3.907985046680551022e-14
1.000000000000000000e+01,9.000000000000000222e-01,2.800000000064411765e+01,2.800000000064398975e+01,1.278976924368180335e-13
1.000000000000000000e+01,1.000000000000000000e+00,2.800000001630031576e+01,2.800000001629976865e+01,5.471179065352771431e-13
1.000000000000000000e+01,1.100000000000000089e+00,2.800000031315862969e+01,2.800000031315623161e+01,2.398081733190338127e-12
1.000000000000000000e+01,1.200000000000000178e+00,2.800000457559564992e+01,2.800000457558064682e+01,1.500310986557451542e-11
1.000000000000000000e+01,1.300000000000000044e+00,2.800005098490693101e+01,2.800005098479542198e+01,1.115090242365113227e-10
1.000000000000000000e+01,1.400000000000000133e+00,2.800043493700784936e+01,2.800043493645627990e+01,5.515694567748141708e-10
1.000000000000000000e+01,1.500000000000000000e+00,2.800285551899817094e+01,2.800285551742940982e+01,1.568761121006900794e-09
1.000000000000000000e+01,1.600000000000000089e+00,2.801453058567770782e+01,2.801453058343772895e+01,2.239978869056358235e-09
1.000000000000000000e+01,1.700000000000000178e+00,2.805785148645381710e+01,2.805785148692266873e+01,4.688516241913021076e-10
1.000000000000000000e+01,1.800000000000000044e+00,2.818248021405153736e+01,2.818248022388760177e+01,9.836064407409139676e-09
1.000000000000000000e+01,1.900000000000000133e+00,2.846357575722922562e+01,2.846357577991628318e+01,2.268705756591771205e-08
1.000000000000000000e+01,2.000000000000000000e+00,2.896865195261291603e+01,2.896865197871676756e+01,2.610385152479466342e-08
3.000000000000000000e+01,0.000000000000000000e+00,2.800000000175542070e+01,2.800000000175525727e+01,1.634248292248230428e-13
3.000000000000000000e+01,1.000000000000000056e-01,2.800000000399976230e+01,2.800000000399953493e+01,2.273736754432320595e-13
3.000000000000000000e+01,2.000000000000000111e-01,2.800000001843323716e+01,2.800000001843275399e+01,4.831690603168681264e-13
3.000000000000000000e+01,3.000000000000000444e-01,2.800000009267788315e+01,2.800000009267691325e+01,9.698908343125367537e-13
3.000000000000000000e+01,4.000000000000000222e-01,2.800000045348750533e+01,2.800000045348572542e+01,1.779909553079050966e-12
3.000000000000000000e+01,5.000000000000000000e-01,2.800000209371501114e+01,2.800000209371158633e+01,3.424815986363682896e-12
3.000000000000000000e+01,6.000000000000000888e-01,2.800000900625716582e+01,2.800000900624823785e+01,8.927969474825658835e-12
3.000000000000000000e+01,7.000000000000000666e-01,2.800003587193309329e+01,2.800003587190386156e+01,2.923172814917052165e-11
3.000000000000000000e+01,8.000000000000000444e-01,2.800013186560822120e+01,2.800013186551667133e+01,9.154987878901010845e-11
3.000000000000000000e+01,9.000000000000000222e-01,2.800044662477472102e+01,2.800044662453334610e+01,2.413749200513848336e-10
3.000000000000000000e+01,1.000000000000000000e+00,2.800139276740879879e+01,2.800139276688656054e+01,5.222382526426372351e-10
3.000000000000000000e+01,1.100000000000000089e+00,2.800399873052862887e+01,2.800399872960368697e+01,9.249419008483528160e-10
3.000000000000000000e+01,1.200000000000000178e+00,2.801057512777708070e+01,2.801057512644678837e+01,1.330292320744774770e-09
3.000000000000000000e+01,1.300000000000000044e+00,2.802578576771305663e+01,2.802578576622335760e+01,1.489699030798874446e-09
