time_s,heat_balance,moisture_balance,heat_quadrature_difference,moisture_quadrature_difference
4.920000000000000000e+02,2.617054440260979623e-12,3.444144328131669122e-13,2.652173698468898180e-17,2.345996548023461302e-18
4.930000000000000000e+02,2.624948976427239413e-12,3.444228914472385448e-13,2.655256611260194361e-17,2.345996548023461302e-18
4.940000000000000000e+02,2.635669718858269638e-12,3.443932862279877045e-13,2.662963893238435277e-17,2.345996548023461302e-18
4.950000000000000000e+02,2.650950074063130080e-12,3.444017448620593876e-13,2.671596049054064586e-17,2.358452914894847913e-18
4.960000000000000000e+02,2.660307957028704347e-12,3.444017448620593876e-13,2.675603835682749776e-17,2.362605037185310245e-18
4.970000000000000000e+02,2.667963835777049899e-12,3.444059741790952291e-13,2.681153078707082903e-17,2.375061404056696856e-18
4.980000000000000000e+02,2.682835961188110126e-12,3.444102034961310706e-13,2.689785234522712519e-17,2.375061404056696856e-18
4.990000000000000000e+02,2.696112850174166694e-12,3.444102034961310706e-13,2.699650555454860300e-17,2.383365648637621521e-18
5.000000000000000000e+02,2.706236949060411928e-12,3.444017448620593876e-13,2.705970526677017703e-17,2.391669893218545800e-18
5.010000000000000000e+02,2.714489471353542874e-12,3.443932862279877045e-13,2.705970526677017703e-17,2.395822015509008517e-18
5.020000000000000000e+02,2.725869661913019413e-12,3.443932862279877045e-13,2.708513929729837168e-17,2.407499859450933681e-18
5.030000000000000000e+02,2.741822026163058837e-12,3.443890569109519135e-13,2.720845580895022203e-17,2.407499859450933681e-18
5.040000000000000000e+02,2.754860257731201166e-12,3.444017448620593876e-13,2.735643562293244490e-17,2.407499859450933681e-18
5.050000000000000000e+02,2.764381432614295681e-12,3.444144328131669122e-13,2.752907873924503415e-17,2.411651981741395628e-18
5.060000000000000000e+02,2.772520906656835438e-12,3.444102034961310706e-13,2.770172185555762648e-17,2.419956226322319907e-18
5.070000000000000000e+02,2.785006457888755702e-12,3.444102034961310706e-13,2.779729215208780964e-17,2.419956226322319907e-18
5.080000000000000000e+02,2.800230288968320953e-12,3.444017448620593876e-13,2.788669662303540353e-17,2.428260470903244572e-18
5.090000000000000000e+02,2.813896566373078934e-12,3.444102034961310706e-13,2.794218905327873172e-17,2.436564715484169236e-18
