time_s,location,rho,cp,k,D
229620.0,surface,656.6799072690291,1585.7012093240903,0.22884739018390143,2.8917135662204375e-12
229680.0,surface,656.6797746620575,1585.6986490454692,0.2288470345896485,2.8912186009858505e-12
229740.0,surface,656.6796421595278,1585.6960907782982,0.22884667927476363,2.8907240905851567e-12
229800.0,surface,656.6795097613256,1585.693534520384,0.22884632423894222,2.8902300344330145e-12
229860.0,surface,656.679377467337,1585.6909802695366,0.22884596948188007,2.8897364319450982e-12
229920.0,surface,656.679245277448,1585.6884280235695,0.22884561500327352,2.889243282537981e-12
229980.0,surface,656.679113191545,1585.6858777802981,0.2288452608028192,2.8887505856292593e-12
230040.0,surface,656.6789812095143,1585.6833295375422,0.2288449068802142,2.8882583406374548e-12
230100.0,surface,656.6788493312425,1585.6807832931238,0.22884455323515607,2.8877665469820598e-12
230160.0,surface,656.6787175566166,1585.678239044868,0.22884419986734275,2.8872752040835026e-12
230220.0,surface,656.6785858855231,1585.6756967906028,0.2288438467764726,2.8867843113631865e-12
230280.0,surface,656.6784543178495,1585.6731565281596,0.22884349396224438,2.88629386824343e-12
230340.0,surface,656.6783228534827,1585.6706182553726,0.2288431414243573,2.885803874147555e-12
230400.0,surface,656.6781914923102,1585.6680819700791,0.228842789162511,2.8853143284997943e-12
230460.0,surface,656.6780602342195,1585.6655476701192,0.22884243717640546,2.884825230725333e-12
230520.0,surface,656.6779290790984,1585.663015353336,0.2288420854657411,2.8843365802503264e-12
230580.0,surface,656.6777980268346,1585.6604850175759,0.22884173403021887,2.8838483765017952e-12
230640.0,surface,656.6776670773162,1585.657956660688,0.22884138286953998,2.8833606189077913e-12
230700.0,surface,656.6775362304313,1585.6554302805241,0.22884103198340613,2.8828733068972518e-12
230760.0,surface,656.6774054860682,1585.6529058749397,0.22884068137151942,2.882386439900068e-12
230820.0,surface,656.6772748441155,1585.6503834417929,0.22884033103358234,2.8819000173470466e-12
230880.0,surface,656.6771443044616,1585.6478629789444,0.22883998096929783,2.881414038669977e-12
230940.0,surface,656.6770138669956,1585.6453444842584,0.2288396311783692,2.8809285033015103e-12
231000.0,surface,656.6768835316061,1585.6428279556017,0.22883928166050022,2.880443410675267e-12
231060.0,surface,656.6767532981823,1585.6403133908443,0.22883893241539502,2.8799587602257904e-12
231120.0,surface,656.6766231666136,1585.6378007878589,0.22883858344275818,2.8794745513885384e-12
231180.0,surface,656.6764931367891,1585.6352901445212,0.22883823474229462,2.8789907835999093e-12
231240.0,surface,656.6763632085986,1585.63278145871,0.22883788631370972,2.8785074562971965e-12
231300.0,surface,656.6762333819316,1585.630274728307,0.2288375381567093,2.8780245689186583e-12
231360.0,surface,656.6761036566782,1585.6277699511966,0.22883719027099952,2.877542120903428e-12
231420.0,surface,656.6759740327282,1585.6252671252662,0.22883684265628695,2.87706011169155e-12
231480.0,surface,656.6758445099717,1585.6227662484062,0.22883649531227862,2.8765785407240223e-12
231540.0,surface,656.6757150882992,1585.6202673185096,0.2288361482386819,2.876097407442713e-12
231600.0,surface,656.6755857676011,1585.6177703334731,0.2288358014352046,2.87561671129046e-12
231660.0,surface,656.6754565477679,1585.6152752911953,0.2288354549015549,2.875136451710929e-12
231720.0,surface,656.6753274286905,1585.6127821895784,0.22883510863744141,2.8746566281487545e-12
231780.0,surface,656.6751984102597,1585.610291026527,0.2288347626425732,2.8741772400494658e-12
231840.0,surface,656.6750694923667,1585.607801799949,0.22883441691665957,2.8736982868594694e-12
231900.0,surface,656.6749406749026,1585.6053145077547,0.22883407145941037,2.873219768026104e-12
231960.0,surface,656.6748119577587,1585.6028291478578,0.2288337262705358,2.872741682997593e-12
232020.0,surface,656.6746833408267,1585.6003457181748,0.22883338134974648,2.8722640312230397e-12
232080.0,surface,656.6745548239982,1585.5978642166247,0.22883303669675342,2.8717868121525026e-12
232140.0,surface,656.6744264071648,1585.5953846411294,0.22883269231126796,2.871310025236845e-12
232200.0,surface,656.6742980902188,1585.5929069896138,0.2288323481930019,2.870833669927912e-12
232260.0,surface,656.674169873052,1585.5904312600057,0.22883200434166748,2.8703577456783765e-12
232320.0,surface,656.6740417555569,1585.587957450236,0.22883166075697722,2.869882251941847e-12
232380.0,surface,656.6739137376259,1585.5854855582377,0.22883131743864413,2.869407188172769e-12
232440.0,surface,656.6737858191512,1585.5830155819474,0.22883097438638156,2.8689325538265208e-12
232500.0,surface,656.673658000026,1585.580547519304,0.2288306315999033,2.8684583483593563e-12
232560.0,surface,656.6735302801427,1585.5780813682493,0.2288302890789235,2.86798457122837e-12
232620.0,surface,656.6734026593947,1585.5756171267283,0.2288299468231567,2.8675112218915894e-12
232680.0,surface,656.6732751376749,1585.5731547926882,0.2288296048323178,2.8670382998078813e-12
232740.0,surface,656.6731477148764,1585.5706943640798,0.22882926310612217,2.866565804437013e-12
232800.0,surface,656.6730203908932,1585.5682358388558,0.22882892164428553,2.8660937352396293e-12
232860.0,surface,656.6728931656183,1585.5657792149725,0.22882858044652396,2.865622091677222e-12
