time_s,radius_cm,temperature_C,moisture
1.000000000000000000e+02,6.835937500000000867e-03,2.800005333510645755e+01,2.549999999999999822e+00
1.000000000000000000e+02,6.933593750000000520e-03,2.800005333600687507e+01,2.549999999999999822e+00
1.000000000000000000e+02,7.031250000000001041e-03,2.800005333692006815e+01,2.549999999999999822e+00
1.000000000000000000e+02,7.128906249999999827e-03,2.800005333784603678e+01,2.549999999999999822e+00
1.000000000000000000e+02,7.226562499999999480e-03,2.800005333878477387e+01,2.549999999999999822e+00
1.000000000000000000e+02,7.324218750000000000e-03,2.800005333973630073e+01,2.549999999999999822e+00
1.000000000000000000e+02,7.421874999999999653e-03,2.800005334070060314e+01,2.549999999999999822e+00
1.000000000000000000e+02,7.519531250000000173e-03,2.800005334167769178e+01,2.549999999999999822e+00
1.000000000000000000e+02,7.617187499999999827e-03,2.800005334266754886e+01,2.549999999999999822e+00
1.000000000000000000e+02,7.714843750000000347e-03,2.800005334367019572e+01,2.549999999999999822e+00
1.000000000000000000e+02,7.812500000000000000e-03,2.800005334468562168e+01,2.549999999999999822e+00
1.000000000000000000e+02,7.910156249999999653e-03,2.800005334571381610e+01,2.549999999999999822e+00
1.000000000000000000e+02,8.007812500000001041e-03,2.800005334675480029e+01,2.549999999999999822e+00
1.000000000000000000e+02,8.105468750000000694e-03,2.800005334780856359e+01,2.549999999999999822e+00
1.000000000000000000e+02,8.203125000000000347e-03,2.800005334887511310e+01,2.549999999999999822e+00
1.000000000000000000e+02,8.300781250000000000e-03,2.800005334995443818e+01,2.549999999999999822e+00
1.000000000000000000e+02,8.398437500000001388e-03,2.800005335104654947e+01,2.549999999999999822e+00
1.000000000000000000e+02,8.496093750000001041e-03,2.800005335215143987e+01,2.549999999999999822e+00
1.000000000000000000e+02,8.593749999999998959e-03,2.800005335326911649e+01,2.549999999999999822e+00
1.000000000000000000e+02,8.691406250000000347e-03,2.800005335439957221e+01,2.549999999999999822e+00
1.000000000000000000e+02,8.789062500000000000e-03,2.800005335554281771e+01,2.549999999999999822e+00
1.000000000000000000e+02,8.886718749999999653e-03,2.800005335669883522e+01,2.549999999999999822e+00
1.000000000000000000e+02,8.984374999999999306e-03,2.800005335786763894e+01,2.549999999999999822e+00
1.000000000000000000e+02,9.082031250000000694e-03,2.800005335904923598e+01,2.549999999999999822e+00
1.000000000000000000e+02,9.179687500000000347e-03,2.800005336024361924e+01,2.549999999999999822e+00
1.000000000000000000e+02,9.277343750000000000e-03,2.800005336145078161e+01,2.549999999999999822e+00
1.000000000000000000e+02,9.374999999999999653e-03,2.800005336267072664e+01,2.549999999999999822e+00
1.000000000000000000e+02,9.472656250000001041e-03,2.800005336390345789e+01,2.549999999999999822e+00
1.000000000000000000e+02,9.570312500000000694e-03,2.800005336514897536e+01,2.549999999999999822e+00
1.000000000000000000e+02,9.667968750000000347e-03,2.800005336640727904e+01,2.549999999999999822e+00
1.000000000000000000e+02,9.765625000000000000e-03,2.800005336767837605e+01,2.549999999999999822e+00
1.000000000000000000e+02,9.863281250000001388e-03,2.800005336896224506e+01,2.549999999999999822e+00
1.000000000000000000e+02,9.960937500000001041e-03,2.800005337025891450e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.005859375000000069e-02,2.800005337156837371e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.015625000000000035e-02,2.800005337289060847e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.025390625000000000e-02,2.800005337422564011e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.035156249999999965e-02,2.800005337557346152e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.044921874999999931e-02,2.800005337693406915e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.054687500000000069e-02,2.800005337830747010e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.064453125000000035e-02,2.800005337969366437e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.074218750000000000e-02,2.800005338109263420e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.083984374999999965e-02,2.800005338250440801e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.093750000000000104e-02,2.800005338392896448e+01,2.549999999999999822e+00
