time_s,center_temperature_C,surface_temperature_C,mean_temperature_C,center_moisture,surface_moisture,mean_moisture
4.270000000000000000e+02,2.815386937872234441e+01,2.939133386283554827e+01,2.869016357615620549e+01,2.549999999999999822e+00,1.967652216589865333e+00,2.477355484894986137e+00
4.280000000000000000e+02,2.815511116653302182e+01,2.939552387626494934e+01,2.869305311035287431e+01,2.549999999999999822e+00,1.967064492565196998e+00,2.477199923332516818e+00
4.290000000000000000e+02,2.815635879173920841e+01,2.939969816294012261e+01,2.869594362324024672e+01,2.549999999999999378e+00,1.966477651521616687e+00,2.477044409379296486e+00
4.300000000000000000e+02,2.815761225662527778e+01,2.940385793939795533e+01,2.869883513252512941e+01,2.550000000000000266e+00,1.965891690256929669e+00,2.476888942964813545e+00
4.310000000000000000e+02,2.815887156330425256e+01,2.940800423211405246e+01,2.870172765460423747e+01,2.550000000000000711e+00,1.965306605594522527e+00,2.476733524018812638e+00
4.320000000000000000e+02,2.816013671372200022e+01,2.941213792221146051e+01,2.870462120475978907e+01,2.550000000000000266e+00,1.964722394381549053e+00,2.476578152471292871e+00
4.330000000000000000e+02,2.816140770966130802e+01,2.941625977645725953e+01,2.870751579731014047e+01,2.549999999999999378e+00,1.964139053487623965e+00,2.476422828252502484e+00
4.340000000000000000e+02,2.816268455274605742e+01,2.942037046993898386e+01,2.871041144573014137e+01,2.549999999999999822e+00,1.963556579803830582e+00,2.476267551292941960e+00
4.350000000000000000e+02,2.816396724444530619e+01,2.942447060287643623e+01,2.871330816274861419e+01,2.549999999999999378e+00,1.962974970241950778e+00,2.476112321523356918e+00
4.360000000000000000e+02,2.816525578607736335e+01,2.942856071330163559e+01,2.871620596042788520e+01,2.550000000000000266e+00,1.962394221733845256e+00,2.475957138874741670e+00
4.370000000000000000e+02,2.816655017881387124e+01,2.943264128701485305e+01,2.871910485023086324e+01,2.549999999999999822e+00,1.961814331230937736e+00,2.475802003278333885e+00
4.380000000000000000e+02,2.816785042368377390e+01,2.943671276546221804e+01,2.872200484307749946e+01,2.549999999999999822e+00,1.961235295703780412e+00,2.475646914665612375e+00
4.390000000000000000e+02,2.816915652157738137e+01,2.944077555202244767e+01,2.872490594939320019e+01,2.549999999999999378e+00,1.960657112141678260e+00,2.475491872968301088e+00
4.400000000000000000e+02,2.817046847325017467e+01,2.944483001703778413e+01,2.872780817914991403e+01,2.549999999999999822e+00,1.960079777552363511e+00,2.475336878118364226e+00
4.410000000000000000e+02,2.817178627932675639e+01,2.944887650207481400e+01,2.873071154190260046e+01,2.550000000000000266e+00,1.959503288961696343e+00,2.475181930048000023e+00
4.420000000000000000e+02,2.817310994030466631e+01,2.945291532341758867e+01,2.873361604682088810e+01,2.549999999999999822e+00,1.958927643413398645e+00,2.475027028689649633e+00
4.430000000000000000e+02,2.817443945655811177e+01,2.945694677497993297e+01,2.873652170271695638e+01,2.549999999999999378e+00,1.958352837968812210e+00,2.474872173975984246e+00
4.440000000000000000e+02,2.817577482834162694e+01,2.946097113077361485e+01,2.873942851807021626e+01,2.549999999999999822e+00,1.957778869706670477e+00,2.474717365839915750e+00
4.450000000000000000e+02,2.817711605579376055e+01,2.946498864700520670e+01,2.874233650104934412e+01,2.549999999999998934e+00,1.957205735722889361e+00,2.474562604214584294e+00
4.460000000000000000e+02,2.817846313894055399e+01,2.946899956389471242e+01,2.874524565953205624e+01,2.550000000000000266e+00,1.956633433130366306e+00,2.474407889033362729e+00
4.470000000000000000e+02,2.817981607769907271e+01,2.947300410725286568e+01,2.874815600112304281e+01,2.549999999999999378e+00,1.956061959058795985e+00,2.474253220229856609e+00
4.480000000000000000e+02,2.818117487188074222e+01,2.947700248983155902e+01,2.875106753317012576e+01,2.549999999999999378e+00,1.955491310654486226e+00,2.474098597737895311e+00
