time_h,surface_C,mean_C,global_max_C
2.5,0.75025675754737819,1.7660390582905052,2.5179516139954443
2.5833333333333335,0.73870649983756531,1.745017139712435,2.509961402399882
2.6666666666666665,0.72741510738002302,1.7242630019602514,2.5009282606168397
2.75,0.71610598249250745,1.7037747589924261,2.4908612218928043
2.8333333333333335,0.70539491685201916,1.6835417689993408,2.4797833664777964
2.9166666666666665,0.69447925369152719,1.6635570206231562,2.467724765545531
3,0.68437273933072273,1.6438222489799961,2.4547252460008897
3.0833333333333335,0.67430497548934643,1.624311966372544,2.4408184871723058
3.1666666666666665,0.6643737206122039,1.6050310018086928,2.4260357272194057
3.25,0.65451852289476375,1.5859659817829794,2.4104333629739956
3.3333333333333335,0.64521058993696501,1.5671168590963864,2.394064985676569
3.4166666666666665,0.63595743211461553,1.5484703318054456,2.3769782617051893
3.5,0.62698315889169653,1.530030939297941,2.359220353320163
3.5833333333333335,0.6183277917023825,1.5117943306786199,2.3408659095067366
3.6666666666666665,0.6095193779444652,1.4937724460822532,2.321969717773539
3.75,0.60118661698724274,1.4759588620368622,2.3025790261574892
3.8333333333333335,0.59264326012843749,1.4583487300480233,2.2827362526522905
3.9166666666666665,0.58474728247922303,1.4409377514173278,2.2624894339442214
4,0.57662184616746892,1.4237224915632116,2.2418753984650297
4.083333333333333,0.56880343147081158,1.4067062025984247,2.2209381246793658
4.166666666666667,0.56110534056402772,1.3898856866132479,2.1997304175051782
4.25,0.55355444761907135,1.3732576492376429,2.1782843676251948
4.333333333333333,0.54615069750580825,1.3568185532312449,2.1566320891048045
4.416666666666667,0.53889064864011915,1.3405648938429233,2.1348039912952528
4.5,0.53176979564289817,1.3244932647542933,2.1128285448127113
4.583333333333333,0.52470482451077527,1.3086078781885631,2.090750184519528
4.666666666666667,0.51772818472050541,1.2929142048362627,2.0686117743925356
4.75,0.51086154984329324,1.2774098348245433,2.0464365927913528
4.833333333333333,0.50410858556575155,1.2620920184013926,2.0242461311936788
4.916666666666667,0.49746904234606226,1.2469579375676678,2.0020602114944546
5,0.4909411017585974,1.2320047899034927,1.9798970981567228
5.083333333333333,0.48456486298857271,1.2172257638259187,1.9577632540087044
5.166666666666667,0.47831709448469278,1.2026134947951981,1.9356638879629706
5.25,0.47218027655103728,1.1881650445269993,1.9136134068505504
5.333333333333333,0.46614667317573261,1.1738778199772077,1.8916251126054988
5.416666666666667,0.46021077425806478,1.1597494236416039,1.8697112727928384
5.5,0.45436808064207179,1.1457776047549473,1.8478831877176509
5.583333333333333,0.44857383644662374,1.1319641198713077,1.8261615962967532
5.666666666666667,0.4428440236860402,1.1183114455402083,1.8045661674209799
5.75,0.43718930724512278,1.1048179923717891,1.7831052987242182
5.833333333333333,0.43161119924010444,1.0914820022004301,1.7617866242885953
5.916666666666667,0.42610932383054695,1.0783016883279057,1.7406170750687784
6,0.42068259330445074,1.065275276433274,1.7196029343610519
6.083333333333333,0.41528088355299647,1.0524056373596069,1.698762477833117
6.166666666666667,0.40992607534804765,1.0396964067228325,1.6781129895422131
6.25,0.40463314082111901,1.0271462992292826,1.6576584089504207
6.333333333333333,0.39940581517300972,1.0147537595912899,1.6374021727788315
6.416666666666667,0.39424535075200734,1.0025171415427792,1.6173472526791661
6.5,0.38915196773784561,0.99043476413634057,1.5974961901995208
6.583333333333333,0.3841346360862703,0.9785040672306381,1.5778487271484103
6.666666666666667,0.37918828988355247,0.96672235695854536,1.5584043388897799
6.75,0.37430904016592476,0.95508788992702609,1.5391646144744389
6.833333333333333,0.36949504670924749,0.94359899973898231,1.5201308287042254
6.916666666666667,0.36474489842907265,0.93225406505840214,1.5013039651766642
7,0.36005736750278822,0.92105149999134306,1.4826847385843351
7.083333333333333,0.3554048185890874,0.90999221571019362,1.4642804602395143
7.166666666666667,0.35079911818940973,0.89907755079331853,1.4460978939446936
7.25,0.34624826447273527,0.88830620614946021,1.4281365945242253
7.333333333333333,0.34175417336218272,0.8776767336018525,1.4103959330174733
7.416666666666667,0.33731743810534143,0.86718763481095851,1.3928751157546044
7.5,0.33293810615543812,0.85683739197845044,1.375573201631737
7.583333333333333,0.32856552688089824,0.84662911133446583,1.3585019583148177
7.666666666666667,0.32422416787380742,0.83656664983769446,1.3416723433991924
7.75,0.31993066149590704,0.826648849675231,1.3250820331157653
